epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2276.71,1.2722,1.62606,1.78528,0.62279,0.61197,0.63332,0.41228,1.25689,1.53106,1.80418,0.005743,0.005743,0.005743
45,2327.92,1.29044,1.6698,1.78924,0.59275,0.61152,0.62823,0.42305,1.16709,1.50141,1.71182,0.005644,0.005644,0.005644
46,2378.96,1.28163,1.60583,1.78898,0.66845,0.54898,0.62687,0.40111,1.26833,1.55247,1.78308,0.005545,0.005545,0.005545
47,2429.91,1.29376,1.61238,1.78278,0.62663,0.6139,0.64985,0.41419,1.27158,1.54857,1.80195,0.005446,0.005446,0.005446
48,2480.96,1.28124,1.59277,1.78747,0.64923,0.58651,0.67858,0.44466,1.19881,1.44983,1.75492,0.005347,0.005347,0.005347
49,2531.94,1.24265,1.5345,1.73814,0.61815,0.61752,0.65456,0.43426,1.23721,1.44058,1.75747,0.005248,0.005248,0.005248
50,2583.07,1.24307,1.57261,1.74524,0.59796,0.65167,0.65403,0.43911,1.14591,1.40106,1.69637,0.005149,0.005149,0.005149
51,2634.06,1.22893,1.54187,1.72872,0.69427,0.65189,0.72451,0.48439,1.13164,1.35445,1.66694,0.00505,0.00505,0.00505
52,2685.07,1.24919,1.55442,1.73556,0.63323,0.55529,0.6163,0.39639,1.20926,1.63446,1.73935,0.004951,0.004951,0.004951
53,2736.04,1.20649,1.55213,1.71832,0.64409,0.66676,0.69877,0.47939,1.10782,1.34806,1.64866,0.004852,0.004852,0.004852
54,2787.13,1.22742,1.50375,1.73345,0.69271,0.66265,0.70138,0.47625,1.14164,1.38575,1.66455,0.004753,0.004753,0.004753
55,2838.41,1.24048,1.51342,1.73397,0.66276,0.65021,0.69002,0.46366,1.17625,1.33353,1.73725,0.004654,0.004654,0.004654
56,2889.55,1.20794,1.48453,1.72721,0.69357,0.64127,0.71476,0.4945,1.11804,1.3744,1.66559,0.004555,0.004555,0.004555
57,2941.16,1.1875,1.44678,1.7069,0.71141,0.60362,0.69016,0.48402,1.08151,1.36868,1.61422,0.004456,0.004456,0.004456
58,2992.49,1.2025,1.488,1.69792,0.72899,0.62183,0.71939,0.48386,1.11497,1.3377,1.67049,0.004357,0.004357,0.004357
59,3043.79,1.18774,1.4879,1.69019,0.72423,0.65075,0.74574,0.49769,1.17544,1.30012,1.71997,0.004258,0.004258,0.004258
60,3094.98,1.20008,1.44588,1.70039,0.71813,0.70347,0.75275,0.514,1.11599,1.25191,1.63342,0.004159,0.004159,0.004159
61,3146.18,1.19449,1.44795,1.69692,0.67039,0.66925,0.72356,0.48966,1.15001,1.31549,1.69486,0.00406,0.00406,0.00406
62,3197.52,1.1829,1.43969,1.67994,0.75464,0.67296,0.76549,0.5045,1.1833,1.22698,1.7329,0.003961,0.003961,0.003961
63,3249.03,1.15802,1.4059,1.67039,0.78455,0.67801,0.7587,0.53069,1.0912,1.24819,1.63818,0.003862,0.003862,0.003862
64,3300.2,1.17195,1.39422,1.66749,0.74686,0.64955,0.74331,0.49224,1.15481,1.20895,1.69081,0.003763,0.003763,0.003763
65,3351.41,1.15509,1.37203,1.65773,0.80698,0.65042,0.7726,0.54564,1.07435,1.15497,1.59931,0.003664,0.003664,0.003664
66,3402.75,1.13796,1.38476,1.64879,0.74119,0.69703,0.75628,0.53761,1.06996,1.26065,1.60877,0.003565,0.003565,0.003565
67,3453.95,1.13679,1.40913,1.65865,0.72173,0.69099,0.75146,0.53078,1.08334,1.18452,1.6316,0.003466,0.003466,0.003466
68,3505.28,1.15385,1.37215,1.66156,0.75298,0.69313,0.76282,0.53328,1.12605,1.22164,1.64914,0.003367,0.003367,0.003367
69,3556.42,1.13298,1.36405,1.63977,0.80916,0.70883,0.7933,0.56509,1.04943,1.13494,1.59233,0.003268,0.003268,0.003268
70,3607.59,1.14163,1.34636,1.64107,0.8009,0.68876,0.78288,0.54816,1.05583,1.15478,1.60356,0.003169,0.003169,0.003169
71,3658.69,1.11998,1.29898,1.61608,0.75802,0.67323,0.77439,0.55235,1.05639,1.206,1.60457,0.00307,0.00307,0.00307
72,3709.62,1.10748,1.29398,1.62828,0.81093,0.67509,0.78883,0.55497,1.06173,1.1081,1.60788,0.002971,0.002971,0.002971
73,3760.79,1.10803,1.28752,1.61287,0.78566,0.68133,0.78282,0.56336,1.03873,1.14505,1.57861,0.002872,0.002872,0.002872
74,3811.8,1.07641,1.27657,1.59616,0.81036,0.72129,0.81811,0.58913,1.05731,1.06406,1.58607,0.002773,0.002773,0.002773
75,3862.86,1.0976,1.30072,1.6073,0.82913,0.68892,0.80346,0.57139,1.02484,1.07967,1.54945,0.002674,0.002674,0.002674
76,3913.91,1.08114,1.26844,1.59101,0.8037,0.68854,0.78513,0.56016,1.05234,1.05073,1.59827,0.002575,0.002575,0.002575
77,3964.84,1.07486,1.28147,1.59072,0.76836,0.75239,0.82226,0.60144,0.99857,1.02972,1.54367,0.002476,0.002476,0.002476
78,4015.88,1.07301,1.24845,1.58032,0.86075,0.72791,0.82782,0.58971,1.04657,1.02913,1.56849,0.002377,0.002377,0.002377
79,4066.88,1.09056,1.25475,1.60056,0.7809,0.75527,0.82307,0.60132,0.99896,1.0341,1.53103,0.002278,0.002278,0.002278
80,4118.01,1.04699,1.21392,1.56478,0.84854,0.69543,0.82563,0.60135,1.02923,1.07307,1.55799,0.002179,0.002179,0.002179
81,4169.15,1.07088,1.25259,1.58488,0.85178,0.70081,0.82204,0.59594,1.02658,1.07495,1.55913,0.00208,0.00208,0.00208
82,4220.33,1.03439,1.18449,1.55076,0.84736,0.72305,0.81872,0.59766,1.02301,1.03983,1.56937,0.001981,0.001981,0.001981
83,4271.41,1.04345,1.20078,1.55676,0.82846,0.75014,0.81814,0.60677,1.00922,1.00018,1.54207,0.001882,0.001882,0.001882
84,4322.61,1.0466,1.1916,1.5578,0.84582,0.72795,0.82587,0.60945,0.97144,0.99248,1.5139,0.001783,0.001783,0.001783
85,4373.93,1.04115,1.20726,1.54722,0.81127,0.76145,0.82993,0.61121,0.99871,0.98406,1.54074,0.001684,0.001684,0.001684
86,4425.36,1.01556,1.19924,1.53343,0.85607,0.74691,0.84012,0.61127,0.99854,0.99546,1.53712,0.001585,0.001585,0.001585
87,4476.63,1.01712,1.14434,1.54256,0.79833,0.70656,0.82063,0.59775,1.00257,1.05146,1.53758,0.001486,0.001486,0.001486
88,4527.88,1.01146,1.16607,1.53666,0.82342,0.74188,0.8351,0.61541,0.98142,0.96277,1.5038,0.001387,0.001387,0.001387
89,4579.27,0.9932,1.13926,1.52153,0.77183,0.76108,0.8265,0.61561,0.98924,0.99956,1.51754,0.001288,0.001288,0.001288
90,4630.47,0.9855,1.12193,1.4973,0.84629,0.74791,0.8413,0.62642,0.97435,0.93146,1.50936,0.001189,0.001189,0.001189
91,4681.67,0.97813,1.1098,1.50405,0.82895,0.78358,0.85072,0.6311,0.93955,0.9109,1.48226,0.00109,0.00109,0.00109
92,4732.91,0.99382,1.09638,1.51525,0.81418,0.7692,0.85015,0.63394,0.93871,0.95001,1.47928,0.000991,0.000991,0.000991
93,4784.12,0.9934,1.10369,1.50635,0.81266,0.78495,0.84673,0.63007,0.96074,0.93526,1.50476,0.000892,0.000892,0.000892
94,4835.35,0.98015,1.07971,1.50675,0.86201,0.74986,0.85222,0.63847,0.93905,0.94196,1.47279,0.000793,0.000793,0.000793
95,4886.51,0.97745,1.08444,1.50028,0.8393,0.75643,0.84728,0.63403,0.93761,0.9441,1.46982,0.000694,0.000694,0.000694
96,4937.46,0.96054,1.07439,1.49594,0.85202,0.76592,0.85824,0.64357,0.92189,0.90931,1.46117,0.000595,0.000595,0.000595
97,4988.53,0.97363,1.06789,1.4943,0.85763,0.74318,0.85303,0.64512,0.93576,0.92955,1.46706,0.000496,0.000496,0.000496
98,5039.6,0.95799,1.06986,1.47809,0.8511,0.75313,0.8589,0.64482,0.93082,0.91229,1.46333,0.000397,0.000397,0.000397
99,5090.59,0.9499,1.05443,1.47522,0.87479,0.74002,0.86209,0.64893,0.92447,0.89529,1.46004,0.000298,0.000298,0.000298
100,5141.52,0.94797,1.04857,1.47805,0.8801,0.74332,0.86255,0.6519,0.91623,0.88923,1.44692,0.000199,0.000199,0.000199
